1.332267629550187849e-15,6.969848480983499295e-01,2.753463348283963106e-17,3.821848480983501273e-01,0.000000000000000000e+00
2.000000000001111999e-03,6.969848469129414914e-01,-2.744245992357225725e-09,3.821848463704017318e-01,0.000000000000000000e+00
4.000000000000891731e-03,6.969848386293117093e-01,-2.192102730500501378e-08,3.821848342955047051e-01,0.000000000000000000e+00
6.000000000000671463e-03,6.969848161883310800e-01,-7.387238097716986177e-08,3.821848015836936674e-01,0.000000000000000000e+00
8.000000000000451195e-03,6.969847725734376054e-01,-1.748417986312846889e-07,3.821847380070536593e-01,0.000000000000000000e+00
1.000000000000023093e-02,6.969847008105519715e-01,-3.409744243278724474e-07,3.821846333995954637e-01,0.000000000000000000e+00
1.200000000000001066e-02,6.969845939679917279e-01,-5.883172524479645452e-07,3.821844776571309832e-01,0.000000000000000000e+00
1.399999999999979039e-02,6.969844451563855792e-01,-9.328193255755192865e-07,3.821842607371487843e-01,0.000000000000000000e+00
1.599999999999957012e-02,6.969842475285883410e-01,-1.390331932379839276e-06,3.821839726586891972e-01,0.000000000000000000e+00
1.799999999999934985e-02,6.969839942795953425e-01,-1.976608805497992185e-06,3.821836035022201372e-01,0.000000000000000000e+00
1.999999999999912959e-02,6.969836786464566059e-01,-2.707306319417226038e-06,3.821831434095121494e-01,0.000000000000000000e+00
2.199999999999890932e-02,6.969832939081919143e-01,-3.597983688357387995e-06,3.821825825835138968e-01,0.000000000000000000e+00
2.399999999999868905e-02,6.969828333857047697e-01,-4.664103164153345142e-06,3.821819112882277603e-01,0.000000000000000000e+00
2.599999999999846878e-02,6.969822904416976828e-01,-5.921030234137404755e-06,3.821811198485849936e-01,0.000000000000000000e+00
2.799999999999824851e-02,6.969816584805855753e-01,-7.384033819021720376e-06,3.821801986503211568e-01,0.000000000000000000e+00
2.999999999999802824e-02,6.969809309484115145e-01,-9.068286470780724992e-06,3.821791381398517151e-01,0.000000000000000000e+00
3.199999999999780798e-02,6.969801013327604489e-01,-1.098886457053354685e-05,3.821779288241471395e-01,0.000000000000000000e+00
